2018-19 Advanced Placement Participation - All Subjects - All Students,,,,,,,,
District Name,District Code,Tests Takers,Tests Taken,One Test,Two Tests,Three Tests,Four Tests,Five or More Tests
Abington,00010000,      88,     137,      64,       6,      12,       5,       1
Academy Of the Pacific Rim Charter Public (District),04120000,      51,      85,      26,      17,       7,       1,       0
Acton-Boxborough,06000000,     493,"   1,200",     154,     129,      99,      76,      35
Adams-Cheshire,06030000,     103,     150,      67,      26,       9,       1,       0
Advanced Math and Science Academy Charter (District),04300000,     254,     490,     109,      73,      54,      17,       1
Agawam,00050000,     234,     463,      98,      80,      30,      17,       9
Amesbury,00070000,      99,     149,      52,      44,       3,       0,       0
Amherst-Pelham,06050000,     119,     173,      76,      33,       9,       1,       0
Andover,00090000,     515,     960,     210,     204,      71,      23,       7
Arlington,00100000,     452,"   1,042",     137,     130,     113,      56,      16
Ashburnham-Westminster,06100000,     112,     172,      71,      28,       8,       4,       1
Ashland,00140000,     165,     340,      62,      55,      30,      13,       5
Assabet Valley Regional Vocational Technical,08010000,      80,      96,      64,      16,       0,       0,       0
Athol-Royalston,06150000,      39,      64,      20,      14,       4,       1,       0
Atlantis Charter (District),04910000,      43,      61,      26,      16,       1,       0,       0
Attleboro,00160000,     379,     611,     197,     137,      40,       5,       0
Auburn,00170000,     280,     459,     153,      84,      35,       7,       1
Avon,00180000,      27,      39,      19,       4,       4,       0,       0
Ayer Shirley School District,06160000,     103,     190,      48,      29,      20,       6,       0
Barnstable,00200000,     396,     782,     211,      78,      56,      22,      29
Baystate Academy Charter Public School (District),35020000,      36,      45,      27,       9,       0,       0,       0
Bedford,00230000,     159,     317,      60,      60,      28,       7,       4
Belchertown,00240000,      62,      88,      41,      18,       1,       2,       0
Bellingham,00250000,      99,     149,      54,      40,       5,       0,       0
Belmont,00260000,     527,"   1,206",     194,     143,      91,      56,      43
Berkshire Arts and Technology Charter Public (District),04140000,      42,      69,      18,      21,       3,       0,       0
Berkshire Hills,06180000,      75,     126,      36,      31,       6,       0,       2
Berlin-Boylston,06200000,      73,     145,      21,      34,      16,       2,       0
