2018-19 Advanced Placement Performance - All Subjects - All Students,,,,,,,,,
District Name,District Code,Tests Taken,Score=1,Score=2,Score=3,Score=4,Score=5,% Score 1-2,% Score 3-5
Abington,00010000,     137,      11,      53,      37,      23,      13,  46.7,  53.3
Academy Of the Pacific Rim Charter Public (District),04120000,      85,      28,      26,      19,       7,       5,  63.5,  36.5
Acton-Boxborough,06000000,"   1,200",       8,      36,     139,     345,     672,   3.7,  96.3
Adams-Cheshire,06030000,     150,      44,      61,      33,      12,       0,  70.0,  30.0
Advanced Math and Science Academy Charter (District),04300000,     490,      17,      59,     107,     145,     162,  15.5,  84.5
Agawam,00050000,     463,      40,     154,     155,      69,      45,  41.9,  58.1
Amesbury,00070000,     149,      10,      20,      55,      37,      27,  20.1,  79.9
Amherst-Pelham,06050000,     173,       8,      17,      50,      57,      41,  14.5,  85.5
Andover,00090000,     960,      33,     157,     238,     278,     254,  19.8,  80.2
Arlington,00100000,"   1,042",      63,     144,     267,     302,     266,  19.9,  80.1
Ashburnham-Westminster,06100000,     172,      10,      48,      58,      38,      18,  33.7,  66.3
Ashland,00140000,     340,       3,      14,      60,     108,     155,   5.0,  95.0
Assabet Valley Regional Vocational Technical,08010000,      96,      31,      25,      31,       5,       4,  58.3,  41.7
Athol-Royalston,06150000,      64,      24,      25,      14,       1,       0,  76.6,  23.4
Atlantis Charter (District),04910000,      61,      17,      24,      14,       5,       1,  67.2,  32.8
Attleboro,00160000,     611,     117,     207,     173,      80,      34,  53.0,  47.0
Auburn,00170000,     459,     103,     160,     106,      60,      30,  57.3,  42.7
Avon,00180000,      39,       5,      12,      15,       7,       0,  43.6,  56.4
Ayer Shirley School District,06160000,     190,      25,      50,      56,      41,      18,  39.5,  60.5
Barnstable,00200000,     782,     169,     181,     209,     136,      87,  44.8,  55.2
Baystate Academy Charter Public School (District),35020000,      45,      25,      14,       4,       2,       0,  86.7,  13.3
Bedford,00230000,     317,       1,      27,      67,     109,     113,   8.8,  91.2
Belchertown,00240000,      88,       5,       7,      37,      28,      11,  13.6,  86.4
Bellingham,00250000,     149,      21,      53,      43,      25,       7,  49.7,  50.3
