2018-19 Dropout Report (District) All Students,,,,,,,,
District Name,District Code,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,% Dropout Grade 09,% Dropout Grade 10,% Dropout Grade 11,% Dropout Grade 12
Abby Kelley Foster Charter Public (District),04450000,     375,       1,   0.3,   0.0,   0.0,   0.0,   1.2
Abington,00010000,     540,       3,   0.6,   0.6,   0.0,   0.8,   0.9
Academy Of the Pacific Rim Charter Public (District),04120000,     226,       1,   0.4,   0.0,   1.4,   0.0,   0.0
Acton-Boxborough,06000000,"   1,834",       8,   0.4,   0.0,   0.5,   0.0,   1.2
Adams-Cheshire,06030000,     292,       5,   1.7,   1.2,   0.0,   2.7,   2.3
Advanced Math and Science Academy Charter (District),04300000,     566,       2,   0.4,   0.0,   0.0,   0.0,   1.7
Agawam,00050000,"   1,104",      19,   1.7,   1.1,   1.7,   1.1,   2.9
Amesbury,00070000,     611,      12,   2.0,   0.0,   1.9,   0.6,   5.2
Amherst-Pelham,06050000,     917,      13,   1.4,   0.0,   1.3,   0.9,   3.6
Andover,00090000,"   1,761",       2,   0.1,   0.0,   0.0,   0.2,   0.2
Argosy Collegiate Charter School (District),35090000,     147,       3,   2.0,   1.8,   3.0,,
Arlington,00100000,"   1,380",       7,   0.5,   0.0,   0.0,   1.2,   0.9
Ashburnham-Westminster,06100000,     657,       4,   0.6,   0.0,   1.1,   0.6,   0.6
Ashland,00140000,     832,       5,   0.6,   0.4,   0.0,   1.4,   0.5
Assabet Valley Regional Vocational Technical,08010000,"   1,134",       2,   0.2,   0.0,   0.3,   0.0,   0.4
Athol-Royalston,06150000,     335,      12,   3.6,   2.4,   3.3,   3.5,   5.3
Atlantis Charter (District),04910000,     304,       3,   1.0,   2.4,   1.2,   0.0,   0.0
Attleboro,00160000,"   1,790",      25,   1.4,   0.4,   1.1,   1.4,   2.9
Auburn,00170000,     726,       6,   0.8,   0.0,   0.5,   0.0,   2.6
Avon,00180000,     196,       0,   0.0,   0.0,   0.0,   0.0,   0.0
Ayer Shirley School District,06160000,     389,       2,   0.5,   0.0,   1.1,   0.0,   1.0
Barnstable,00200000,"   1,426",      25,   1.8,   1.8,   0.8,   2.2,   2.2
Baystate Academy Charter Public School (District),35020000,     254,       8,   3.1,   3.0,   1.3,   3.3,   6.0
Bedford,00230000,     835,       2,   0.2,   0.0,   0.0,   1.0,   0.0
Belchertown,00240000,     682,       3,   0.4,   0.0,   1.1,   0.0,   0.6
Bellingham,00250000,     608,       8,   1.3,   0.0,   1.3,   2.6,   1.3
Belmont,00260000,"   1,308",       3,   0.2,   0.0,   0.0,   0.6,   0.3
Berkshire Arts and Technology Charter Public (District),04140000,     166,       0,   0.0,   0.0,   0.0,   0.0,   0.0
Berkshire Hills,06180000,     525,       5,   1.0,   0.7,   0.8,   0.9,   1.4
Berlin-Boylston,06200000,     312,       0,   0.0,   0.0,   0.0,   0.0,   0.0
Beverly,00300000,"   1,250",      19,   1.5,   0.8,   0.6,   1.7,   3.2
Billerica,00310000,"   1,148",       9,   0.8,   0.3,   0.8,   0.9,   1.2
